description,year,value
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1988,141.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1989,135.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1990,143.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1991,138.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1992,133.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1993,121.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1994,120.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1995,119.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1996,120.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1997,116.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1998,112.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,1999,110.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2000,93.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2001,89.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2002,89.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2003,84.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2004,84.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2005,83.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2006,80.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2007,84.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2008,87.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2009,95.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2010,87.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2011,93.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2012,89.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2013,87.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2014,90.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2015,88.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2016,83.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2017,81.0000
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,2018,83.0000
